current_version,week_start,stagger,cumulative_cells,stagger_total_cells,pct_of_stagger
262.15,2026-05-25,R0,9,9,100.0
262.15,2026-05-25,R1,92,113,81.4
262.15,2026-05-25,R2a,226,472,47.9
262.15,2026-05-25,R2b,63,119,52.9
262.15,2026-05-25,SB0,9,16,56.3
262.15,2026-05-25,SB1,194,268,72.4
262.15,2026-06-01,R0,9,9,100.0
262.15,2026-06-01,R1,92,113,81.4
262.15,2026-06-01,R2a,226,472,47.9
262.15,2026-06-01,R2b,63,119,52.9
262.15,2026-06-01,SB0,9,16,56.3
262.15,2026-06-01,SB1,194,268,72.4
262.16,2026-03-16,R0,0,9,0.0
262.16,2026-03-16,R1,0,113,0.0
262.16,2026-03-16,R2a,0,472,0.0
262.16,2026-03-16,R2b,0,119,0.0
262.16,2026-03-16,SB0,1,16,6.3
262.16,2026-03-16,SB1,0,268,0.0
262.16,2026-03-23,R0,0,9,0.0
262.16,2026-03-23,R1,0,113,0.0
262.16,2026-03-23,R2a,0,472,0.0
262.16,2026-03-23,R2b,0,119,0.0
262.16,2026-03-23,SB0,1,16,6.3
262.16,2026-03-23,SB1,0,268,0.0
262.16,2026-03-30,R0,0,9,0.0
262.16,2026-03-30,R1,0,113,0.0
262.16,2026-03-30,R2a,0,472,0.0
262.16,2026-03-30,R2b,0,119,0.0
262.16,2026-03-30,SB0,1,16,6.3
262.16,2026-03-30,SB1,0,268,0.0
262.16,2026-04-06,R0,0,9,0.0
262.16,2026-04-06,R1,0,113,0.0
262.16,2026-04-06,R2a,0,472,0.0
262.16,2026-04-06,R2b,0,119,0.0
262.16,2026-04-06,SB0,1,16,6.3
262.16,2026-04-06,SB1,0,268,0.0
262.16,2026-04-13,R0,0,9,0.0
262.16,2026-04-13,R1,0,113,0.0
262.16,2026-04-13,R2a,0,472,0.0
262.16,2026-04-13,R2b,0,119,0.0
262.16,2026-04-13,SB0,1,16,6.3
262.16,2026-04-13,SB1,0,268,0.0
262.16,2026-04-20,R0,0,9,0.0
262.16,2026-04-20,R1,0,113,0.0
262.16,2026-04-20,R2a,0,472,0.0
262.16,2026-04-20,R2b,0,119,0.0
262.16,2026-04-20,SB0,7,16,43.8
262.16,2026-04-20,SB1,4,268,1.5
262.16,2026-04-27,R0,0,9,0.0
262.16,2026-04-27,R1,0,113,0.0
262.16,2026-04-27,R2a,0,472,0.0
262.16,2026-04-27,R2b,0,119,0.0
262.16,2026-04-27,SB0,7,16,43.8
262.16,2026-04-27,SB1,4,268,1.5
262.16,2026-05-04,R0,0,9,0.0
262.16,2026-05-04,R1,0,113,0.0
262.16,2026-05-04,R2a,0,472,0.0
262.16,2026-05-04,R2b,0,119,0.0
262.16,2026-05-04,SB0,7,16,43.8
262.16,2026-05-04,SB1,4,268,1.5
262.16,2026-05-11,R0,0,9,0.0
262.16,2026-05-11,R1,0,113,0.0
262.16,2026-05-11,R2a,0,472,0.0
262.16,2026-05-11,R2b,0,119,0.0
262.16,2026-05-11,SB0,7,16,43.8
262.16,2026-05-11,SB1,4,268,1.5
262.16,2026-05-18,R0,0,9,0.0
262.16,2026-05-18,R1,0,113,0.0
262.16,2026-05-18,R2a,0,472,0.0
262.16,2026-05-18,R2b,0,119,0.0
262.16,2026-05-18,SB0,7,16,43.8
262.16,2026-05-18,SB1,4,268,1.5
262.16,2026-05-25,R0,0,9,0.0
262.16,2026-05-25,R1,0,113,0.0
262.16,2026-05-25,R2a,0,472,0.0
262.16,2026-05-25,R2b,0,119,0.0
262.16,2026-05-25,SB0,7,16,43.8
262.16,2026-05-25,SB1,4,268,1.5
262.16,2026-06-01,R0,0,9,0.0
262.16,2026-06-01,R1,0,113,0.0
262.16,2026-06-01,R2a,0,472,0.0
262.16,2026-06-01,R2b,0,119,0.0
262.16,2026-06-01,SB0,7,16,43.8
262.16,2026-06-01,SB1,4,268,1.5
262.17,2026-03-16,R0,0,9,0.0
262.17,2026-03-16,R1,0,113,0.0
262.17,2026-03-16,R2a,0,472,0.0
262.17,2026-03-16,R2b,0,119,0.0
262.17,2026-03-16,SB0,0,16,0.0
262.17,2026-03-16,SB1,0,268,0.0
262.17,2026-03-23,R0,0,9,0.0
262.17,2026-03-23,R1,1,113,0.9
262.17,2026-03-23,R2a,0,472,0.0
262.17,2026-03-23,R2b,0,119,0.0
262.17,2026-03-23,SB0,1,16,6.3
262.17,2026-03-23,SB1,0,268,0.0
262.17,2026-03-30,R0,0,9,0.0
262.17,2026-03-30,R1,1,113,0.9
262.17,2026-03-30,R2a,0,472,0.0
262.17,2026-03-30,R2b,0,119,0.0
262.17,2026-03-30,SB0,1,16,6.3
262.17,2026-03-30,SB1,0,268,0.0
262.17,2026-04-06,R0,0,9,0.0
262.17,2026-04-06,R1,1,113,0.9
262.17,2026-04-06,R2a,0,472,0.0
262.17,2026-04-06,R2b,0,119,0.0
262.17,2026-04-06,SB0,1,16,6.3
262.17,2026-04-06,SB1,0,268,0.0
262.17,2026-04-13,R0,0,9,0.0
262.17,2026-04-13,R1,1,113,0.9
262.17,2026-04-13,R2a,0,472,0.0
262.17,2026-04-13,R2b,0,119,0.0
262.17,2026-04-13,SB0,3,16,18.8
262.17,2026-04-13,SB1,1,268,0.4
262.17,2026-04-20,R0,0,9,0.0
262.17,2026-04-20,R1,1,113,0.9
262.17,2026-04-20,R2a,0,472,0.0
262.17,2026-04-20,R2b,0,119,0.0
262.17,2026-04-20,SB0,3,16,18.8
262.17,2026-04-20,SB1,1,268,0.4
262.17,2026-04-27,R0,0,9,0.0
262.17,2026-04-27,R1,1,113,0.9
262.17,2026-04-27,R2a,0,472,0.0
262.17,2026-04-27,R2b,0,119,0.0
262.17,2026-04-27,SB0,9,16,56.3
262.17,2026-04-27,SB1,5,268,1.9
262.17,2026-05-04,R0,0,9,0.0
262.17,2026-05-04,R1,1,113,0.9
262.17,2026-05-04,R2a,0,472,0.0
262.17,2026-05-04,R2b,0,119,0.0
262.17,2026-05-04,SB0,9,16,56.3
262.17,2026-05-04,SB1,5,268,1.9
262.17,2026-05-11,R0,0,9,0.0
262.17,2026-05-11,R1,1,113,0.9
262.17,2026-05-11,R2a,0,472,0.0
262.17,2026-05-11,R2b,0,119,0.0
262.17,2026-05-11,SB0,9,16,56.3
262.17,2026-05-11,SB1,6,268,2.2
262.17,2026-05-18,R0,0,9,0.0
262.17,2026-05-18,R1,2,113,1.8
262.17,2026-05-18,R2a,0,472,0.0
262.17,2026-05-18,R2b,0,119,0.0
262.17,2026-05-18,SB0,10,16,62.5
262.17,2026-05-18,SB1,77,268,28.7
262.17,2026-05-25,R0,0,9,0.0
262.17,2026-05-25,R1,2,113,1.8
262.17,2026-05-25,R2a,0,472,0.0
262.17,2026-05-25,R2b,0,119,0.0
262.17,2026-05-25,SB0,10,16,62.5
262.17,2026-05-25,SB1,77,268,28.7
262.17,2026-06-01,R0,0,9,0.0
262.17,2026-06-01,R1,2,113,1.8
262.17,2026-06-01,R2a,0,472,0.0
262.17,2026-06-01,R2b,0,119,0.0
262.17,2026-06-01,SB0,10,16,62.5
262.17,2026-06-01,SB1,80,268,29.9
262.18,2026-03-16,R0,0,9,0.0
262.18,2026-03-16,R1,0,113,0.0
262.18,2026-03-16,R2a,0,472,0.0
262.18,2026-03-16,R2b,0,119,0.0
262.18,2026-03-16,SB0,0,16,0.0
262.18,2026-03-16,SB1,0,268,0.0
262.18,2026-03-23,R0,0,9,0.0
262.18,2026-03-23,R1,0,113,0.0
262.18,2026-03-23,R2a,0,472,0.0
262.18,2026-03-23,R2b,0,119,0.0
262.18,2026-03-23,SB0,0,16,0.0
262.18,2026-03-23,SB1,0,268,0.0
262.18,2026-03-30,R0,0,9,0.0
262.18,2026-03-30,R1,0,113,0.0
262.18,2026-03-30,R2a,0,472,0.0
262.18,2026-03-30,R2b,0,119,0.0
262.18,2026-03-30,SB0,1,16,6.3
262.18,2026-03-30,SB1,0,268,0.0
262.18,2026-04-06,R0,0,9,0.0
262.18,2026-04-06,R1,0,113,0.0
262.18,2026-04-06,R2a,0,472,0.0
262.18,2026-04-06,R2b,0,119,0.0
262.18,2026-04-06,SB0,1,16,6.3
262.18,2026-04-06,SB1,0,268,0.0
262.18,2026-04-13,R0,0,9,0.0
262.18,2026-04-13,R1,0,113,0.0
262.18,2026-04-13,R2a,0,472,0.0
262.18,2026-04-13,R2b,0,119,0.0
262.18,2026-04-13,SB0,1,16,6.3
262.18,2026-04-13,SB1,0,268,0.0
262.18,2026-04-20,R0,0,9,0.0
262.18,2026-04-20,R1,0,113,0.0
262.18,2026-04-20,R2a,0,472,0.0
